text,character
(to charlie),0
(to daisy),0
(to danny),0
(to mendez),0
(to mike),0
(to natalie),0
(to pat),0
(to prew) ),0
(to sam),0
(to sophie),0
(to the secretaries),0
(to tramp),0
(to zach),0
(trailing off),0
(turning),0
(turns),0
(v.o.),0
(walla),0
(whirling),0
(whisper),0
(whispered-),0
(x),0
(yawning),0
)p( 5191 blue (2)   37.,0
-,0
- -a continued :,0
- 118 -,0
- ava.,0
- the berlin wall coming down. shouts and cheers from,0
--,0
-- and strikes sam right in the head,0
-- we slowly creep inside.,0
---,0
------------------------------------------------------------------------,0
---------------------------------------------------------------------------    77.,0
---ext. -diner - night,0
--running hard--,0
-63-,0
.,0
...,0
.45 the shuttle pilot - forward 145,0
.marylin,0
.when some of the filipino's notice him starting to,0
0,0
03222004 83.,0
05    105,0
1   21,0
1 aerial panorama - day to night 1,0
1 continued:   1,0
1 ext. mountain range - day  1,0
1 injured man,0
10 ext. gascony - day   10,0
10.,0
100,0
100 int. hospital room - day   100,0
100 int. speck's house - attic- continuing 100,0
100.,0
100b.,0
101,0
"101 int. truck, ramadi - day  101",0
101.,0
101303,0
102,0
102 the camp at dawn - to establish 102,0
102907 61.,0
102907 62.,0
102a.,0
103,0
103 continued:   103,0
103.,0
104 int. peppy's house - george's bedroom - day  104,0
104.,0
105 ext. bradford's bar - minutes later 105,0
105 omitted   105,0
105.,0
105d.,0
106,0
106.,0
107.,0
108,0
108 ext. bubble camper - night  108,0
108 ext. mississippi river - day 108,0
108.,0
109,0
109 int. 345 churchill road - night 109,0
109.,0
11,0
11 ext. day.  new jersey--suburbs,0
11 ext. ravine - continuing  11,0
"11 int. bedroom, bishop's house - night  11",0
11.,0
110,0
110 ext. holt home - front porch - night 110,0
110- out  out 110-,0
110.,0
111,0
111.,0
112 int. bradley transport vehicle  112,0
112 omitted   112,0
113 ext. fenland village - night. 113,0
113.,0
114 int. day. ewedown. the village pub. 114,0
115 continued:   115,0
115 ext.int. 1950 car - day 115,0
115 int. dive bar - short time later 115,0
11503,0
116,0
117 int. x-net central server circuitry,0
117b   117b,0
118    118,0
118 int. torture room day,0
118.,0
118b. int. cockpit - their pov,0
118i int. cellar - day   118i,0
119 omitted    119,0
119. i n t . s c h u y l e r ' s m b z - n i g h t,0
12 int. armansky's office - same time - continued  12,0
12 int. george doris' house - day  12,0
12.,0
120 ie. new house backyard - 1996 - morning  120,0
120 omitted   120,0
120.,0
121 int. acclaim on quebec roads - night  121,0
121.,0
122 ext. day. hadditon - the station beth's car. 122,0
122 ext. off rampintersection - night 122,0
122.,0
124 continued 124,0
124 in front of the van  124,0
124.,0
126 int. elevator. continuous. 126,0
126 speedboat - night   126,0
126.,0
127 ext. florida bar - night   127,0
127. int. iguana motel - day,0
128 bench 128,0
128c ext. van - continuous  128c,0
129 continued: (3)  129,0
129 int. acclaim on frozen river - night  129,0
129 sam 1's dream   129,0
12b continued:   12b,0
13,0
13 continued:   13,0
13 continued: 13,0
13 ext. log cabin - day 13,0
13 ext. overpass - night,0
13 ext. winnebago - day   13,0
13 ext. yard - night  13,0
13 int. conrad's bedroom morning  13,0
13.,0
130 int. bathroom - same,0
131    131,0
131 131,0
131 int. police station - hallway - day  131,0
132 ext. parkside house. garden. night. 132,0
132.,0
134 ext. felucia-forest-day,0
134.,0
135 continued: (4)  135,0
135 ext. arizona interstate overpass - night 135,0
135.,0
136 continued:   136,0
136 ext. deck   136,0
138,0
139 mark,1
14,0
14.,0
140.,0
143 143,0
143 int. parkside house. hall. night. 143,0
143.,0
144.,0
145,0
145 ext. fort bragg - day  145,0
145.,0
146 angle on clayton harding 146,0
146.,0
148 watersport platform - night  148,0
148int -- solitary wing -- day (1955) 148,0
"149 in the den, 149",0
14a.,0
15 continued:   15,0
15 ext. mansion - circular driveentrance area - day 15,0
15.,0
150    150,0
150 int. tommy's office - day  150,0
150.,0
151.,0
152 omitted   152,0
152.,0
153 continued:   153,0
153 continued: (4)   153,0
154 cut 154,0
154 int. clasky house - late night  154,0
154 int. narada - torture room  154,0
154.,0
155 another day   155,0
155 continued:   155,0
155 ext. hills - day,0
155 mark,1
156 continued:   156,0
156ash 156,0
157 close shot - piano and radiator  157,0
157int. chicago temple - night,0
157int.stagenight,0
158    158,0
158 int. wilhelm grimm's house - day 158,0
158: ext. steep stairs. porch. house. night.,0
159 ext . pithouse - night,0
15b ext. apt. building - sherman - night  15b,0
15int: nursery - night,0
16 continued:   16,0
16 extint streetbus. simultaneous. 16,0
16.,0
160,0
160 angle on eli and nina - moving,0
160 ext. mall parking lot - late night.  160,0
161-ccloser - taylor,0
162 int. bus - day   162,0
163 continued:   163,0
164 ext. walkway. berlin safe house - night.  164,0
166.,0
168 below - piltdown  168,0
168 continued: (3)   168,0
168 diner - mackelway - resuming  168,0
168 ext. slum. night.  168,0
168 int. moscow airport -- night  168,0
17 continued:   17,0
17 continued: (2)  17,0
17 deleted    17,0
17 ext. bank - same time  17,0
17 ext. gluckman mansion - patio - noon  17,0
17 int. 444 lenox ave. - night  17,0
17 int. penn-way quick mart - bathroom - that moment 17,0
17.,0
17. street day,0
170. int. glen's bedroom. night.   170.,0
171 int. first floor hallway - pov - moving shot - night 171,0
172 int. gym    172,0
172 nico,1
172cext. track - day   172c,0
173 int. ground floorelevatorlobby,0
174 closeup - emma,0
174 continued: (2) 174,0
174 ext . front porch - ranch home - late afternoon,0
174f continued:   174f,0
174med. shot - zira and cornelius,0
176 continued:   176,0
176. follow shot with conway and chang,0
177 int. criminal courts building - roland - day  177,0
177ext. basecamp at the cave of swimmers. day.,0
178a int. fashion show tententrance area -- moments later 178a,0
178int. concert hall,0
18,0
18 int. jane's room - 20 minutes later  18,0
18 int. rose's house - oscar's bedroom - night  18,0
18.,0
180 int. upper landing night,0
181 close on werner   181,0
181 int. newspaper office - day  181,0
181a int. enterprise - engineering bay - continuous  181a,0
183 ext. streets - various angles - night  183,0
183 int. studio. night.   183,0
184 ext. wheat field - night  184,0
184 int. cynthia's office,0
184fx ext. ruinsstreet - night  184fx,0
"186 int. texas state pen, 1998 - cell - day  186",0
187 int . the studio main house - sedona - night,0
187m close shot - linda  187m,0
19.,0
191 angle on duesenberg's trunk,0
192 int. duesenberg,0
193 int. hallway - night  193,0
196 ext. yard behind bodega - day,0
196c ext. carrie's apartment -- day -- winter 196c,0
197 int. kidnappers' van - night  197,0
198 int. tunnels. galinka - continuous 198,0
198(new). i n t . m e n ' s r o o m - n i g h t,0
199ext. percy warner park - day,0
1a int. classroom. day  1a,0
1a. int. rock ledge - sietch tabr - night,0
1s8 ext. cursed earth - dawn,0
2,0
2    82,0
2 extint. docksslum room. england - day. 2  2,0
2.,0
20,0
"20 int. cabin, kitchen - day 20",0
20 int. evidence room - heroin locker - night  20,0
20 int. weston house - afternoon  20,0
20.,0
20. interior senator theater. stage area. 20.,0
200 stuart - in virginia church - intercut 200,0
201 ext. - bank of paris. - day 201,0
203 ext. motel - dusk   203,0
203 omitted   203,0
204 continued:   204,0
206angle - barbara jean,0
207 ext. roadside - day   207,0
207 int. hub -- back room  207,0
208 int. tire emporium - bathroom - day 208,0
21,0
21.,0
210 ext. upper class neighborhood - night (later) 210,0
211 int. texas courtroom - 1999 - day  211,0
212 ext. mustafar-collection panels-day,0
21209 6.,0
213 ext. all night cafe - night   213,0
214 angle - crowd   214,0
217,0
22.,0
220 ext. intersection - morning,0
220 ext. jungle - pre-dawn  220,0
220 solitary wing   220,0
221 ext. mustafar-volcano pit-day,0
224 int. onassis coney island restaurant,0
227 int. 33rd floor - on mcclane  227,0
22b int. andy's housebedroom - night  22b,0
22ext. the private dock - day,0
23,0
23   23,0
23 continued: 23,0
23 ext. street subway entrance - night,0
23.,0
230ext. road no. 1 to santa barbara - day,0
236int -- 2nd tier -- night (1962) 236,0
239 continued:   239,0
24 continued: (3) 24,0
24 int. boudoir - continuous action  24,0
24.,0
240 int. franz' house - day   240,0
241 int. casino floor   241,0
243 hans' office   243,0
244 ext. sarratt - nissan hut - day  244,0
244c int. hospital room - day   244c,0
247 the elevator shaft   247,0
25 ext. pellit chemical co. parking lot - continuous action 25,0
25.,0
252 continued:   252,0
253 ext. boatyard - day  253,0
254 rusty's cell phone   254,0
255 continued:   255,0
256   256,0
256 close shot - a flame-thrower (on tank),0
256 int. manufacturing area - night 256,0
258 ext. port authority -- day  258,0
259. shot inside railing,0
26 int. ellis' office - night  26,0
26.,0
265 int. godzilla's mouth   265,0
26z int. u.s.s. kelvin - bridge - continuous  26z,0
27,0
27 billy (minutes later)  27,0
27 dream sequence - eyes  27,0
27.,0
270. close shot - maria,0
270a ext. convention hall - night,0
271a ext. rooftop parking lot -- port authority 271a,0
272 int. bellagio vault - night  272,0
274 deleted   274,0
275 elevated subway train - night,0
275 full view - the fortress,0
"278 int. hospital room, new orleans - morning, present  278",0
28,0
28    28,0
28 int - presbytery - day,0
28 interior adm- the next morning 28,0
28.,0
282 his foot  282,0
28castle facadenight,0
28ext. the private dock - sunset,0
28int. the patient's room. day.,0
29,0
29 continued: (2) 29,0
290 int. collin's house - bathroom - morning  290,0
292,0
3   34.,0
3 ext. equatorial sky - night  3,0
3 ext. streets of london - night   3,0
3.,0
3. 3,0
30 continued: (5)   30,0
30 ext. estate - road - day   30,0
30 int. upper west side apartment - night 30,0
30.,0
303 int. cabin cellar - night (studio)  303,0
308 omit   308,0
31,0
31 continued:   31,0
31 int. bedroom - morning 31,0
31 int. workshop - night - past  31,0
"31, rear of clifftop lookout. morning. 31.",0
31.,0
313    313,0
32 continued:   32,0
32 continued: (3)   32,0
32 int. hallway day,0
32 int. jesse's bedroom (present)  32,0
32.,0
329 ext. driveway - branca's safe house - night,0
"329 int. apartment, the projects - morning  329",0
32aa int. workshop - montage - night  32aa,0
33,0
33 int. comms room   33,0
33.,0
331    331,0
338. med. trucking shot - clerk,0
34,0
34 con tinue d:   34,0
34.,0
349wide shot - evil ash - stuntman 349,0
35 continued:   35,0
35 ext. paris' house - night   35,0
35.,0
35. ext. vacant field - day,0
356 johnson and johnson's chopper  356,0
358 int. hospital corridor -- day  358,0
358a medium shot - ed dummy  358a,0
35a continued: (2)   35a,0
36.,0
365full shot - the cavern - reverse angle,0
36a int. ruth's hut - day   36a,0
37 continued:   37,0
37 int. porch of house - night   37,0
37 int. the beast driving - night  37,0
37.,0
372a over possessed ed's shoulder  372a,0
38   38,0
38.,0
387 close shot - low angle - floor level 387,0
38a continued:   38a,0
39 ext. street - mexico city - day  39,0
39 int ext. driver's car hollywood boulevard - night. 39,0
39 int. ellis' bathroom - resume  39,0
39.,0
393 ext. roof,0
39a cochrane and miller 39a,0
39a. int. boone's bathroom day,0
3a.,0
3rd interrogator,0
4,0
4   4,0
4 ext. downtown - street - night   4,0
4 int. ray's trailer - day   4,0
4 omitted,0
4.,0
40,0
40 continued:   40,0
40.,0
40a int. the hallway   40a,0
40d    40d,0
41 ext. rent-a-cop car   41,0
41 int. 2nd fl hall outside dad's office - day 41,0
41.,0
415 mcclane and grant 415,0
42,0
42 continued:   42,0
42 ext. wood by the inn - night  42,0
42 ext: the upper-broadway high-rise office building - day,0
42 int. ship's kitchen area - continuous  42,0
42.,0
429-5022.,0
43 ext. the throat - night  143,0
43.,0
44 continued:,0
44 int. carrie's apartment -- day -- summer 44,0
44.,0
443,0
444sheila 444,1
445 continue,0
44a continued: (2)   44a,0
45    45,0
45 continued:,0
45 int. doc's cottage  45,0
45 int. hardbodies - ted's cubicle - day  45,0
45 int. obsession room night,0
45 int. runway - miranda's office -- day  45,0
45.,0
458sheila 458,1
46 int. hospital - day 46,0
46.,0
47 int. rez's house downstairs hallway. morning.,0
47.,0
48 ext. cascade range - day   48,0
48 ext. paddock - day   48,0
48.,0
4891 yellow   19.,0
49,0
49 ext. space-coruscant,0
49 int. thrift shop - close on clothes hanger - day 49,0
5,0
5   56.,0
5 con tinue d:  5,0
5 continued: 22,0
5 ext. night. pharmacy -- moscow  5,0
5 int. bush's barn - day 5,0
5 int. florida courtroom - day  5,0
5.,0
50 continued: 50,0
50 ext. desert highway -- day,0
50 ext. riverbank - day 50,0
50 int old testament bathroom day  50,0
50 int. bernie's room - late afternoon  50,0
50 int. unmarked police car - in motion - day  50,0
50.,0
51 continued:   51,0
51 ext. fleet street -- day  51,0
51 ext. ship - day   51,0
51.,0
52,0
52 ext annandale street - dusk  52,0
52.,0
53,0
53 continued: (2)   53,0
53 int. ed's apartment,0
53 interior o'hare airport- day,0
53.,0
536,0
54 ext. abby'sandrew's house. night.  54,0
54 interior tunnel day,0
54.,0
544,0
54wide angle - the carousel,0
55 continued:   55,0
55.,0
55a    55a,0
55e continued: 165e,0
56,0
56 ext space - the rebel fleet,0
56.,0
567,0
57,0
57 int. ferris' room   57,0
57 int. into the living room - at the bar -continuous  57,0
57 omitted 57,0
57.,0
577a ash's pov -   577a,0
577b angle - ash   577b,0
58 int. dillinger's officeconference room - night  58,0
58.,0
59.,0
59a int. andy's houseden   59a,0
59a int. interview roompescadero - night,0
59another angle,0
59another part of the canyon (ochre dunes area) - group,0
6,0
6    6,0
6 ext. castle - night   6,0
6 ext. downtown - streets - dawn  6,0
6 int. tomb   6,0
6 int.ext. dre's car - compton - minutes later  6,0
6.,0
6.int. her-sterectomy - night6.,0
60 continued:   60,0
60 int. beamish foyer - later 60,0
60 int. dressing-room - elland road - day - (1969)  60,0
60 int. stairwell   60,0
60.,0
61 closeup - trubshaw,0
61 continued:,0
61.,0
61a hallway   61a,0
62 continued:   62,0
62 continued: (5)   62,0
62 ext. farmhouse - day   62,0
62 int. dining room - afternoon  62,0
62.,0
63.,0
632 ext. cabin - night - (studio miniature) 632,0
63b int. mayan - night   63b,0
63x21at the wall recess,0
64,0
64 int. europol headquarters -- the hague -- day  64,0
64 int. mattie darrow house - nightcontinuous 64,0
64.,0
65 int. flight deck - day   65,0
65.,0
66,0
66 continued:   66,0
66 ext. road - 12:00 am   66,0
66 int. alex's flat - day,0
66 int. attic - continuous   66,0
66 on the mound   66,0
66.,0
67,0
67 ext. loveless mansion - courtyard - night (same time) 67,0
67 int. night. safe house,0
67.,0
68 ext. airport police office - day 68,0
68 ext. tilley's house  68,0
68 int. hallway - lower class apartment  68,0
68.,0
69,0
69 a root cellar 69,0
69 continued:   69,0
69 int. slate's office - day  69,0
69 int. united house of prayer for all people. day  69,0
69b    69b,0
69x1int. - hydrotoner - day,0
6:00.,0
6int. temple room - day,0
6o,0
7    7,0
7 continued: 7,0
7 int. elevator - moments later 7,0
7 int. mia's apartment - early evening,0
7.,0
70 ext. saffron - night - valet stand - moments later 70,0
70 int. law library - day   70,0
70 int. nicki's house- night  70,0
70 int. richmond palace - long gallery - dusk  70,0
70.,0
71    71,0
71 continued:,0
71 continued: (3)   71,0
71 int. lee's palace - later 71,0
71 int. tuohy house - michael's bedroom - day 71,0
71.,0
72 continued:   72,0
72 int ext. driver's car underground car park - night. 72,0
72 int. lapd unmarked car - fanning  72,0
72.,0
72. interior detective moore's car.,0
7207   23.,0
73 continued:,0
73 continued: (2) 73,0
73 ext. buchman backyard. day.  73,0
73.,0
74,0
74.,0
75,0
75   75,0
75 back to scene -- the crime scene  75,0
75 closeup on computer screen   75,0
75 ext. shield desert base - fence - moments later 75,0
75 int. hannah's apartment - evening  75,0
75 int. railroad flat -- right after. 75,0
75 int. restaurant basement storeroom - late afternoon,0
75 laser lab - as before  75,0
75 omitted   75,0
75.,0
76 continued: (3)   76,0
77 continued: (7) 77,0
77 ext. gillespie hall - night  77,0
77.,0
78 int. ford - day  78,0
78ext. outside zorg's warehouse - day,0
79.,0
8,0
"8,",0
8.,0
8. medium shot,0
80 emma's pov,0
80 ext. battlefield - continuous 80,0
80 ext. space - night   80,0
80.,0
80. int. locker room - day,0
80a ext. street - night  80a,0
81,0
81 back to scenehawkins  81,0
81 ext. pawn shop tarazana la - day. 81,0
81.,0
81803 102.,0
81803 73.,0
81c pedrosa the feds   81c,0
82 continued:   82,0
82 continued: (3)   82,0
82.,0
82c continued: (2)   82c,0
83 ext. hotel - next day - day  83,0
83 ext. longhorn diner wichita falls - night - establishing 83,0
83.,0
83c,0
83int. galaxie - moving - ten minutes later,0
84 int. aunt helen's car - night (flashback)  84,0
84.,0
84a.,0
85,0
85 ext. street -- continuous,0
85.,0
85. int. rod's cell.   85.,0
86,0
86 continued: (2) 86,0
86.,0
86a the beak of the drinking bird,0
87 continued: (2)   87,0
87 int. tuohy house - hallway - night,0
87.,0
88.,0
88. int. the tunnel   88.,0
89 int. guardian angel theater - corridor lobby - day 89,0
89 int. rec room -- later  89,0
89.,0
89b int. safe-house - ground floor - night  89b,0
89tv monitor,0
8a ext. digne - night   8a,0
8it came from outer space - geodesic globe eclipsing the earth,0
9,0
9 continued: 9,0
9.,0
90,0
90 continued:,0
90 int. m.p. centerandy's room - night  90,0
90.,0
91,0
91 continued: 91,0
91 ext. side alley - day  91,0
91 int. el floradita - dance floor - night  91,0
91.,0
92,0
92 ext. street. night.   92,0
92 outside house 92,0
92 section seventeen,0
92.,0
92410,0
93 int. enterprise - bridge - continuous  93,0
93.,0
94 int. dre's house - living room - day  94,0
94 int. rick jones' office - unmhq - day  94,0
94.,0
95 continued:   95,0
95 int. car - later 95,0
95.,0
96,0
96 int. albergo lobby - day 96,0
96 int. studebaker - moving - day  96,0
96.,0
97,0
97 ext. hanalei bay forest area - late afternoon  97,0
97 int. barber shop -- morning   97,0
97 int. lax airport - outside men's room - day 97,0
97.,0
98 int. leeds dressing-room - day - (1974)  98,0
98 later 98,0
98.,0
99,0
99    99,0
99 int. morgue - day   99,0
99.,0
9a.,0
9int. abbott hometent - night  9,0
a,0
a ' diver,0
a .38.,0
a beat.,0
a birthday cake,0
a braille bible.,0
a concert-goer,1
a fifth photo,0
a general,0
a gun,0
a headline: crusaders to play for private school championship,0
a horn blares.,0
a massive candlelight march. cleve jones leads tens of,0
a middle-aged man--in his doorway,0
a passageway,0
a pounding at the front door,0
a series of dissolves,0
a series of murky images. no detail.,0
a series of old newsreel footage - black white,0
a series of shots from a movie being projected on a screen,0
"a shell suddenly lands on top of the site, perhaps fifty yards from the",0
a shot of the perspiring priest,0
a vehicle approaches.,0
a-42 the swimming pool,0
a.d.,1
a.j.,1
a109 ext. barnell great escapes travel - night  a109,0
a11,0
a11 04.00,0
a121 ext. countryside - day a121,0
a127 int. lab building corridor - day  a127,0
a13,0
a156 int. hazel's car - 2032 - samea156,0
a199 ext. burning house (int. warehouse set) - 2055 - morninga199,0
a235 omit   a235 omit,0
a245 intercut - impressions of news footage - on a monitor a245,0
a45   a45,0
a53,0
a65,0
a8,0
a96 ext. the raft - a short time later  a96,0
aaaaaaaaaaaaaa,0
aaaaiiiggggghhhhh,0
aaron,1
aaronow,1
abbott,1
abby,1
abe,1
abel,1
abigail (v.0.),1
about do or die (my niggas) ...,0
above,0
academic,0
accountant,1
ace,1
ace (v.o.),1
ackerman,1
ackerman (cont'd),1
across the room,0
actor,1
adam,1
adam (cont'd),1
adam',1
adams,1
addison,1
ade to black:,0
adele,1
adler,1
administrator,1
adrian,1
adriana,1
adukwu,1
adult pi (v.o.),1
affects,0
african american man,1
agent,1
agent 1,1
agent hadley,1
agent steadman,1
aggie,1
agnes,1
agnieska,1
agnis,1
agriculture,0
agu,1
agu (v.o.),1
ahmad,1
ahmed,1
aibileen,1
aibileen (v.o.),1
aimes,1
aisha,1
aisley,1
akram,1
al,1
al (v.o.),1
alan,1
alan (cont'd),1
alan davenport,1
"alan sitting on the banquette, looking awestruck",0
alastair,1
albanian,1
albert,1
albert (cont'd),1
albino,1
albrecht,1
alejandro,1
alejandro (cont'd),1
alex,1
alexa,1
alexandra,1
alexiev,1
alfred,1
alfred hitchcock,1
alfred hitchcock (cont'd),1
alfred oov,0
algren,1
algren (v.o.),1
ali,1
ali (cont'd),1
alice,1
alien child,1
alike,1
alison,1
all,0
"all of a sudden, behind him, one of ben's duplicates in the",0
allen,1
alley,1
allison,1
ally,1
alma,1
almsy,1
alpha 5,1
altar boys,0
alvin (v.o.),1
alvy,1
alvy's uncle,1
alvy's voice,1
alyssa,1
ambassador geddes,1
ambassador's office,0
amelia,1
american 1,1
american psycho,0
ames,1
amos,1
amsterdam,0
amy,1
an oriental man,1
anakin,1
and a song someone sings,0
and i sticks out my chest,0
and sometimes there's,0
andre jnr.,1
andrea,1
andrew,1
andrew (o.s.),1
andrews,1
andrey,1
andy,1
andy (british),1
andy (v.o.),1
andy warhol (cont'd),1
angel,1
angel dust,0
angela,1
angela (cont'd),1
anger:,0
angie,1
angier,1
angier (cont'd),1
angle - desiree,0
angle - godzilla - night,0
angle - stampede of semi-clad whores,0
angle - thomas hayer,0
angle - west and gordon,0
angle in the drawer.,0
angle int the cargoplane.,0
angle joe's pov,0
angle on,0
angle on austin and vanessa. austin is frantically jerking,0
angle on cat,0
angle on doorway,0
angle on evan's eyes,0
angle on jp,0
angle on larry and bob,0
angle on margaret sylvia,0
angle on mitchell,0
angle on mrs. kintner,0
angle on robert,0
angle on side of the ring,0
angle on the battle,0
angle on the exodus,0
angle on the raft,0
angle on the wreckage,0
angle on tilley and gil,0
angle on ultra magnus and the sweeps,0
angle on:,0
angle),0
"angle, in the areohelvetica plane.",0
"angle, int. the kitchen of starling and mapp's apartment,",0
"angle, street outside apartment complex - later",0
angle: down the street,0
angus,1
anheuser,1
ann,1
anna,1
anna (cont'd),1
anna's pov through glasses,0
annabelle,1
anne,1
annette,1
annie,1
annie (v.o.),1
annie on speakers,0
announcer,1
announcer (v.o.),1
another angle,0
another angle - jeep,0
another arrow supers on very close to their home.,0
another pov,0
anthea,1
anthony,1
anton,1
antony,1
anwar,1
anya (cont.),1
apollo,1
approach,0
aragorn,1
aramis,1
arblus,1
archer,1
archie,1
archie gates,1
archival footage. voice-over of deejays announcing the,0
archy,1
arleen (o.s.),1
arlington (cont'd),1
arly,1
armando,1
armored truck,0
armstrong,1
arnie,1
arojaz,1
aronson,1
around.,0
arrived --,0
art,1
arthur,1
arthur (cont'd),1
arthur shrugs and leaves the stage.,0
arthur subtitle,0
artie,1
artus,1
asael,1
ash,1
ashby,1
ashley,1
ashley (cont'd),1
asian man,1
aslan,1
assani,1
assistant dresser,1
astrid,1
at a street corner,0
at the anchor desk,0
at the doorway,0
at the grill,0
at the poolside restaurant,0
at the table - later,0
athena,1
athos,1
auctioneer,1
audience,1
audience member 2 (o.c.),0
audrey,1
august,1
augusto,1
aunt barbara,1
aunt honey,1
aurora,1
austin,1
autumn,1
ava,1
ava (cont'd),1
avery,1
avi,1
avis (o.s.),1
aww jeeesus man,0
azmat,1
azmat (cont'd),1
azrael,1
b,0
b-21 norma's isotta-fraschini,0
b-5 int. coupe - (night) - (transparency),0
b-9 (v.o.),1
b20,0
b22 01.00,0
b23,0
babe,1
baby,1
back on control room -,0
back to scene,0
back to the garage,0
back to the scene - close up,0
back to:,0
backstage dressing room,0
bacon,1
bad ape (cont'd),1
badchuck,1
badger (v.0.),1
baffert,1
bagley,1
bain,1
baker,1
baker brothers,0
bala,1
balto,1
banducci,1
bane,1
bane (v.o.),1
banes,1
bank manager,1
banner,1
barbara,1
barbossa,1
barin (cont'd),1
barking:,0
barnes,1
barnett,1
barney (thru dashboard stereo),1
baron,1
barris,1
barris (cont'd),1
barrister,1
barron,1
barry,1
barrygary,1
bart,1
bartender,1
bartender...,1
bartholomew,1
bartok (cont.),1
barton,1
basquiat,1
basquiat (cont'd),1
bass,1
bateman,1
bates,1
bathroom,0
bathtub,0
battle of the,0
bavmorda,1
baylen,1
bazylev,1
bb,1
bb.,0
be try,0
bean,1
beat.,0
beauty,1
beavis,1
beck,1
beck (v.o.),1
becker,1
becky,1
bedouin,1
begin credits,0
begin montage:,0
behemoth,1
belinda,1
bell,1
bella,1
belle,1
bellman,1
bembry,1
bembry's voice,1
ben,1
ben(cont'd),1
benjamin button's (v.o.) (cont'd),1
bennie,1
benny,1
benz (cont'd),1
"bergman. bergman takes the paper, and smiles.",0
berlin,0
berlin (v.o.),1
bernie,1
bernie rose,1
bernstein,1
bertha,1
bertie,1
bess,1
beth,1
beth (cont'd),1
bethlehem,0
betty,1
bialystock,1
bialystock moves with a quick shuffling gait to his desk.,0
biff,1
big,1
big chris,1
big ed,1
big guard,1
biggles,1
biker,1
biker 1,1
bill,1
bill (cont'd),1
bill hynes,1
bill krogstad,1
bill o'leary,1
bill roach,1
bill the butcher,1
billacosta,1
billie (cont'd),1
billy,1
bina,1
bird's eye view of a p.e. class,0
birdie,1
birdman (o.s.) (cont'd),1
bishop,1
bit,1
bitching maggot gagger i'll,0
bitsey,1
bizarre voice,1
bizzlebek,1
bjurman,1
black,1
black apparition. it does not move.,0
black frame,0
black guy,1
black legion leader,0
black man,1
black man four,1
black pusher,1
black white color,0
black white photograph.,0
black.,0
blackness,0
blade,1
blade cop,1
blain,1
blake,1
blam,0
blamm-blamm-blamm,0
blane,1
blane sees something over moore's shoulder.,0
"blane starts to his feet. in the back of the crowd we see pincus,",0
blattis,1
blind al,1
blomkvist,1
blonde housewife,1
bloom,1
blue,1
blue - 9-19-08  24.,0
blue - 9-19-08  4.,0
blue 060194,1
bo dietl,1
boatman,1
bob,1
bob anders,1
bob arctor,1
bob slydell,1
bob(v.o.) (cont'd),1
bobby,1
bobby green,1
bock,1
bodhi,1
bodine,1
body count is rising.,0
boeman,1
bogo,1
boiler,1
bomb 20,0
bomb number two - insert,0
bonanno,1
bond,1
bond and sidney -,0
bones,1
bonnie,1
boobie (o.c.),1
boogie,1
book,1
boom,1
